ticker,rs_days,ipo_days_eff,fresh_via,as_of_date
BBHM,,271,ipo,2026-08-15
BBSGX,148,,rs,2026-08-15
BBT,,347,ipo,2026-08-15
BBUL,,39,ipo,2026-08-15
BBYY,,298,ipo,2026-08-15
BCAB,131,2068,rs,2026-08-15
BCAR,,360,ipo,2026-08-15
BCARW,,360,ipo,2026-08-15
BCCQU,,39,ipo,2026-08-15
BCEM,,128,ipo,2026-08-15
BCFN,,243,ipo,2026-08-15
BCGD,,243,ipo,2026-08-15
BCGS,,159,ipo,2026-08-15
BCHT,227,170,both,2026-08-15
BCIC,,355,ipo,2026-08-15
BCKT,,325,ipo,2026-08-15
BCPL,,215,ipo,2026-08-15
BCSM,,243,ipo,2026-08-15
BCSS,,268,ipo,2026-08-15
BCSS.U,,319,ipo,2026-08-15
BCSS.WS,,267,ipo,2026-08-15
BCTK,,243,ipo,2026-08-15
BCTX,355,1075,rs,2026-08-15
BCTXL,,213,ipo,2026-08-15
BD,,53,ipo,2026-08-15
BDCI,7255,303,ipo,2026-08-15
BDCIU,,319,ipo,2026-08-15
BDCIW,,303,ipo,2026-08-15
BDLNF,79,,rs,2026-08-15
BDRX,131,1237,rs,2026-08-15
BDSX,334,2117,rs,2026-08-15
BDVL,,334,ipo,2026-08-15
BDYN,,334,ipo,2026-08-15
BEBE,3536,190,ipo,2026-08-15
BEBE.U,,36,ipo,2026-08-15
BEBE.WS,,190,ipo,2026-08-15
BEC,,46,ipo,2026-08-15
BEDY,,250,ipo,2026-08-15
BEG,,242,ipo,2026-08-15
BENF,243,1164,rs,2026-08-15
BERZ,172,1823,rs,2026-08-15
BESO,,115,ipo,2026-08-15
BESS,,176,ipo,2026-08-15
BESS.WS,,176,ipo,2026-08-15
BETA,,284,ipo,2026-08-15
BEX,,275,ipo,2026-08-15
BEZ,73,185,both,2026-08-15
BFEW,,129,ipo,2026-08-15
BFGFF,108,,rs,2026-08-15
BFJA,,215,ipo,2026-08-15
BFLB,,311,ipo,2026-08-15
BFLX,4363,87,ipo,2026-08-15
BFOC,,318,ipo,2026-08-15
BFXU,,129,ipo,2026-08-15
BGADF,362,,rs,2026-08-15
BGAVF,166,,rs,2026-08-15
BGCG,,75,ipo,2026-08-15
BGDE,,107,ipo,2026-08-15
BGEG,,73,ipo,2026-08-15
BGGG,,75,ipo,2026-08-15
BGIA,,73,ipo,2026-08-15
BGIN,,298,ipo,2026-08-15
BGMS,404,337,ipo,2026-08-15
