ticker,rs_days,ipo_days_eff,fresh_via,as_of_date
GUSE,,271,ipo,2026-08-15
GVLE,,271,ipo,2026-08-15
GWAV,355,1485,rs,2026-08-15
GXLC,,325,ipo,2026-08-15
GXRP,,264,ipo,2026-08-15
GXXM,121,,rs,2026-08-15
HACQ,,131,ipo,2026-08-15
HACQU,,184,ipo,2026-08-15
HACQW,,131,ipo,2026-08-15
HAKY,,206,ipo,2026-08-15
HALX,,88,ipo,2026-08-15
HAO,1,932,rs,2026-08-15
HAPN,,54,ipo,2026-08-15
HAVA,,243,ipo,2026-08-15
HAVAR,,243,ipo,2026-08-15
HAVAU,,296,ipo,2026-08-15
HAWK,,100,ipo,2026-08-15
HBANZ,,194,ipo,2026-08-15
HBIO,152,9382,rs,2026-08-15
HBMX,,74,ipo,2026-08-15
HBNNF,81,,rs,2026-08-15
HBR,,291,ipo,2026-08-15
HBRD,,171,ipo,2026-08-15
HBTPF,81,,rs,2026-08-15
HCAC,,200,ipo,2026-08-15
HCACR,,200,ipo,2026-08-15
HCACU,,267,ipo,2026-08-15
HCAI,124,556,rs,2026-08-15
HCIC,,138,ipo,2026-08-15
HCICR,,137,ipo,2026-08-15
HCICU,,191,ipo,2026-08-15
HCIIX,305,,rs,2026-08-15
HCMA,,327,ipo,2026-08-15
HCMAW,,327,ipo,2026-08-15
HCTI,186,1767,rs,2026-08-15
HCWB,46,1852,rs,2026-08-15
HDIH,36,,rs,2026-08-15
HDRN,,81,ipo,2026-08-15
HDRNW,,81,ipo,2026-08-15
HEAL,347,501,rs,2026-08-15
HEDG,,306,ipo,2026-08-15
HEFT,,267,ipo,2026-08-15
HELP,,222,ipo,2026-08-15
HELS,,247,ipo,2026-08-15
HEMI,,241,ipo,2026-08-15
HERE,,277,ipo,2026-08-15
HERZ,187,404,rs,2026-08-15
HIBS,163,2473,rs,2026-08-15
HIMC,,32,ipo,2026-08-15
HIMY,,361,ipo,2026-08-15
HIMZ,149,520,rs,2026-08-15
HIND,,365,ipo,2026-08-15
HIS,,88,ipo,2026-08-15
HIYY,,326,ipo,2026-08-15
HJLY,,44,ipo,2026-08-15
HJUN,,74,ipo,2026-08-15
HKIT,40,1233,rs,2026-08-15
HLEO,24,,rs,2026-08-15
HLICF,26,,rs,2026-08-15
HLTH,,25,ipo,2026-08-15
HLXC,,204,ipo,2026-08-15
HLXX,,144,ipo,2026-08-15
HLYK,345,,rs,2026-08-15
HMAY,,101,ipo,2026-08-15
HMH,6192,136,ipo,2026-08-15
HMYY,,256,ipo,2026-08-15
HNATF,190,,rs,2026-08-15
HODO,,45,ipo,2026-08-15
HODU,,269,ipo,2026-08-15
HOII,,284,ipo,2026-08-15
HONA,,47,ipo,2026-08-15
HONAV,,61,ipo,2026-08-15
HONG,,95,ipo,2026-08-15
HONIV,,61,ipo,2026-08-15
HOOC,,36,ipo,2026-08-15
HOOI,,361,ipo,2026-08-15
HOOX,149,514,rs,2026-08-15
HOOZ,,275,ipo,2026-08-15
HOYY,,319,ipo,2026-08-15
HPEL,,53,ipo,2026-08-15
HPP,256,5896,rs,2026-08-15
HPUMF,362,,rs,2026-08-15
HPURF,80,,rs,2026-08-15
HQ,,148,ipo,2026-08-15
HQWWW,,148,ipo,2026-08-15
HRSK,,61,ipo,2026-08-15
HRZMF,249,,rs,2026-08-15
HSLV,,157,ipo,2026-08-15
HSONP,,358,ipo,2026-08-15
HSPOU,,323,ipo,2026-08-15
HTCR,131,1647,rs,2026-08-15
HTT,,236,ipo,2026-08-15
HUBC,68,1263,rs,2026-08-15
HULL,4961,101,ipo,2026-08-15
HUTG,,214,ipo,2026-08-15
HUYTF,247,,rs,2026-08-15
HVBVF,270,,rs,2026-08-15
HVMC,,317,ipo,2026-08-15
HVMCW,,317,ipo,2026-08-15
HWIV,,24,ipo,2026-08-15
HWO,,24,ipo,2026-08-15
HYAC.U,,191,ipo,2026-08-15
HYFT,,345,ipo,2026-08-15
HYGM,,116,ipo,2026-08-15
HYNE,,254,ipo,2026-08-15
HYNX,,32,ipo,2026-08-15
HYP,,326,ipo,2026-08-15
HYPG,,73,ipo,2026-08-15
HZBBF,260,,rs,2026-08-15
HZLIF,330,,rs,2026-08-15
IACO,,131,ipo,2026-08-15
IACOU,,185,ipo,2026-08-15
IACOW,,131,ipo,2026-08-15
IACQ,,58,ipo,2026-08-15
IACQU,,109,ipo,2026-08-15
IACQW,,58,ipo,2026-08-15
IAF,296,14051,rs,2026-08-15
IALT,,248,ipo,2026-08-15
IBCB,,142,ipo,2026-08-15
IBFR,,172,ipo,2026-08-15
IBG,197,688,rs,2026-08-15
IBGC,,141,ipo,2026-08-15
IBGM,,141,ipo,2026-08-15
IBHM,,142,ipo,2026-08-15
IBIM,,142,ipo,2026-08-15
IBMU,,141,ipo,2026-08-15
IBMV,,142,ipo,2026-08-15
IBMW,,129,ipo,2026-08-15
IBMX,,121,ipo,2026-08-15
IBTR,,142,ipo,2026-08-15
IBX,,144,ipo,2026-08-15
ICCM,72,1815,rs,2026-08-15
ICON,219,764,rs,2026-08-15
ICPI,,268,ipo,2026-08-15
ICPY,,339,ipo,2026-08-15
ICRC,,317,ipo,2026-08-15
ICU,222,1384,rs,2026-08-15
IDAC,,40,ipo,2026-08-15
IDACU,,92,ipo,2026-08-15
IDACW,,40,ipo,2026-08-15
IDEQ,,347,ipo,2026-08-15
IDJL,,44,ipo,2026-08-15
IDJN,,74,ipo,2026-08-15
IDMY,,101,ipo,2026-08-15
IDTIF,1,,rs,2026-08-15
IDVY,,185,ipo,2026-08-15
IEAG,,158,ipo,2026-08-15
IEAGR,,158,ipo,2026-08-15
IEAGU,,211,ipo,2026-08-15
IETH,,317,ipo,2026-08-15
IFLN,,173,ipo,2026-08-15
IFLR,,268,ipo,2026-08-15
IGAC,8529,236,ipo,2026-08-15
IGACR,,236,ipo,2026-08-15
IGACU,,263,ipo,2026-08-15
IGGY,,332,ipo,2026-08-15
IGPFF,236,,rs,2026-08-15
IINC,,52,ipo,2026-08-15
ILAG,228,1494,rs,2026-08-15
ILAL,192,,rs,2026-08-15
ILLR,53,121,both,2026-08-15
ILLRW,,121,ipo,2026-08-15
ILLU,,117,ipo,2026-08-15
ILLUU,,169,ipo,2026-08-15
ILLUW,,116,ipo,2026-08-15
ILXP,30,,rs,2026-08-15
IMG,253,653,rs,2026-08-15
IMSR,,290,ipo,2026-08-15
IMSRW,,290,ipo,2026-08-15
IMTG,6702,170,ipo,2026-08-15
IMUX,110,2679,rs,2026-08-15
IMVP,,173,ipo,2026-08-15
INBS,242,1388,rs,2026-08-15
IND,,263,ipo,2026-08-15
INDQ,,135,ipo,2026-08-15
INDZ,,177,ipo,2026-08-15
INEOF,71,,rs,2026-08-15
INFH,,71,ipo,2026-08-15
INFQ,,179,ipo,2026-08-15
INFQ.WS,,179,ipo,2026-08-15
INHD,103,975,rs,2026-08-15
INIO,,72,ipo,2026-08-15
INKW,16,,rs,2026-08-15
INLF,40,590,rs,2026-08-15
INNPF,344,,rs,2026-08-15
INOTF,236,,rs,2026-08-15
INT,,36,ipo,2026-08-15
INTJ,179,878,rs,2026-08-15
INTS,177,1142,rs,2026-08-15
INUMF,176,,rs,2026-08-15
INYY,,73,ipo,2026-08-15
IONC,,46,ipo,2026-08-15
IONX,149,521,rs,2026-08-15
IONZ,249,417,rs,2026-08-15
IOSX,,46,ipo,2026-08-15
IOTR,278,492,rs,2026-08-15
IOYY,,284,ipo,2026-08-15
IPEX,,263,ipo,2026-08-15
IPEXR,,263,ipo,2026-08-15
IPEXU,,94,ipo,2026-08-15
IPFX,,89,ipo,2026-08-15
IPFXU,,141,ipo,2026-08-15
IPFXW,,89,ipo,2026-08-15
IPODU,,156,ipo,2026-08-15
IPST,114,327,both,2026-08-15
IPTNF,102,,rs,2026-08-15
IPVVU,,72,ipo,2026-08-15
IPW,8,1921,rs,2026-08-15
IQMM,,177,ipo,2026-08-15
IQMX,,44,ipo,2026-08-15
IQMXW,,44,ipo,2026-08-15
IQQ,,37,ipo,2026-08-15
IRAB,,172,ipo,2026-08-15
IRAB.U,,193,ipo,2026-08-15
IRAB.WS,,172,ipo,2026-08-15
IRE,148,298,both,2026-08-15
IREC,,32,ipo,2026-08-15
IREG,,242,ipo,2026-08-15
IREX,158,296,both,2026-08-15
IREZ,25,205,both,2026-08-15
IRHO,,190,ipo,2026-08-15
IRHOR,,190,ipo,2026-08-15
IRHOU,,241,ipo,2026-08-15
ISBG,3259,206,ipo,2026-08-15
ISNRU,,67,ipo,2026-08-15
ISPC,109,1885,rs,2026-08-15
ISSB,,206,ipo,2026-08-15
ISTM,,78,ipo,2026-08-15
ISUL,,312,ipo,2026-08-15
ITG,,45,ipo,2026-08-15
ITHA,,207,ipo,2026-08-15
ITHAU,,246,ipo,2026-08-15
ITHAW,,207,ipo,2026-08-15
ITOC,,211,ipo,2026-08-15
ITOL,,338,ipo,2026-08-15
IVEP,,129,ipo,2026-08-15
IVF,141,474,rs,2026-08-15
IVSI,,247,ipo,2026-08-15
IVSS,,254,ipo,2026-08-15
IVSX,,176,ipo,2026-08-15
IXHL,169,1627,rs,2026-08-15
IXRRF,255,,rs,2026-08-15
JA,,177,ipo,2026-08-15
JABRU,,66,ipo,2026-08-15
JACS.U,,205,ipo,2026-08-15
JADB,,101,ipo,2026-08-15
JAGU,,186,ipo,2026-08-15
JAGX,107,4112,rs,2026-08-15
JAN,2672,148,ipo,2026-08-15
JANB,,305,ipo,2026-08-15
JANI,,194,ipo,2026-08-15
JATT,,120,ipo,2026-08-15
JBDI,46,718,rs,2026-08-15
JBLG,,39,ipo,2026-08-15
JCAL,,61,ipo,2026-08-15
JDNRF,61,,rs,2026-08-15
JDST,163,4699,rs,2026-08-15
JDZG,75,822,rs,2026-08-15
JEDI,,323,ipo,2026-08-15
JELH,,115,ipo,2026-08-15
JELM,,115,ipo,2026-08-15
JEM,32,432,rs,2026-08-15
JF,,211,ipo,2026-08-15
JFLX,,320,ipo,2026-08-15
JHAI,,360,ipo,2026-08-15
JHDG,,129,ipo,2026-08-15
JHLN,,360,ipo,2026-08-15
JIDE,,199,ipo,2026-08-15
JLCO,,31,ipo,2026-08-15
JMG,,248,ipo,2026-08-15
JMMF,,247,ipo,2026-08-15
JOBC,,36,ipo,2026-08-15
JOBX,158,340,both,2026-08-15
JONEU,,32,ipo,2026-08-15
JOUL,,101,ipo,2026-08-15
JOYT,,361,ipo,2026-08-15
JPFP,,79,ipo,2026-08-15
JPO,,166,ipo,2026-08-15
JPRF,,33,ipo,2026-08-15
JTAI,129,1100,rs,2026-08-15
JTNY,,61,ipo,2026-08-15
JUDB,,101,ipo,2026-08-15
JUDO,2034,142,ipo,2026-08-15
JULB,,305,ipo,2026-08-15
JULC,,44,ipo,2026-08-15
JULI,,45,ipo,2026-08-15
JUNC,,74,ipo,2026-08-15
JUNS,8,620,rs,2026-08-15
JUPGF,254,,rs,2026-08-15
JXG,267,603,rs,2026-08-15
JYD,306,1212,rs,2026-08-15
JZ,40,1450,rs,2026-08-15
JZXN,247,1915,rs,2026-08-15
KAIFF,135,,rs,2026-08-15
KALA,96,3313,rs,2026-08-15
KAMO,,241,ipo,2026-08-15
KARD,,58,ipo,2026-08-15
KAT,,355,ipo,2026-08-15
KAZR,,59,ipo,2026-08-15
KBDU,,268,ipo,2026-08-15
KBFR,,172,ipo,2026-08-15
KBON,,200,ipo,2026-08-15
KBONU,,247,ipo,2026-08-15
KBONW,,200,ipo,2026-08-15
KCA.U,,113,ipo,2026-08-15
KCAC.U,,164,ipo,2026-08-15
KCAC.WS,,113,ipo,2026-08-15
KCOP,,183,ipo,2026-08-15
KDK,,324,ipo,2026-08-15
KDKRW,,324,ipo,2026-08-15
KDVD,,250,ipo,2026-08-15
KEEL,,131,ipo,2026-08-15
KEEX,148,110,both,2026-08-15
KEYG,,60,ipo,2026-08-15
KEYX,,52,ipo,2026-08-15
KEYY,,54,ipo,2026-08-15
KEYYU,,73,ipo,2026-08-15
KEYYW,,54,ipo,2026-08-15
KGKG,171,,rs,2026-08-15
KIDZ,2,495,rs,2026-08-15
KIQQ,,220,ipo,2026-08-15
KITT,116,1432,rs,2026-08-15
KJD,,304,ipo,2026-08-15
KLAG,,240,ipo,2026-08-15
KLAR,,339,ipo,2026-08-15
KLGDF,235,,rs,2026-08-15
KLRA,,120,ipo,2026-08-15
KLSVF,172,,rs,2026-08-15
KMCA,,100,ipo,2026-08-15
KMEM,,45,ipo,2026-08-15
KNRX,,320,ipo,2026-08-15
KOREF,320,,rs,2026-08-15
KOYN,,330,ipo,2026-08-15
KOYNU,,353,ipo,2026-08-15
KOYNW,,330,ipo,2026-08-15
KPEA,74,,rs,2026-08-15
KPET,,86,ipo,2026-08-15
KPET.U,,137,ipo,2026-08-15
KPET.WS,,86,ipo,2026-08-15
KPHO,,254,ipo,2026-08-15
KRAQ,,148,ipo,2026-08-15
KRAQU,,199,ipo,2026-08-15
KRAQW,,148,ipo,2026-08-15
KRFG,340,,rs,2026-08-15
KROP,347,1858,rs,2026-08-15
KRSP,,267,ipo,2026-08-15
KRSP.U,,318,ipo,2026-08-15
KRSP.WS,,264,ipo,2026-08-15
KRWX,,73,ipo,2026-08-15
KRYP,,192,ipo,2026-08-15
KSLV,,319,ipo,2026-08-15
KTHUF,46,,rs,2026-08-15
KTUP,,333,ipo,2026-08-15
KTWO,6914,171,ipo,2026-08-15
KTWOR,,171,ipo,2026-08-15
KTWOU,,198,ipo,2026-08-15
KUST,115,219,both,2026-08-15
KVACU,,81,ipo,2026-08-15
KWH,,31,ipo,2026-08-15
KWIN,,283,ipo,2026-08-15
KWM,12,458,rs,2026-08-15
KWY,,88,ipo,2026-08-15
KXIN,155,2662,rs,2026-08-15
KYC,,101,ipo,2026-08-15
KYIV,,365,ipo,2026-08-15
KYIVW,,365,ipo,2026-08-15
KYLD,,288,ipo,2026-08-15
KYNB,,219,ipo,2026-08-15
KYSRF,74,,rs,2026-08-15
KYSYF,303,,rs,2026-08-15
LABD,320,4097,rs,2026-08-15
LABT,54,114,both,2026-08-15
LABX,158,368,rs,2026-08-15
LACG,,247,ipo,2026-08-15
LADM,,50,ipo,2026-08-15
LAFA,,262,ipo,2026-08-15
LAFAR,,262,ipo,2026-08-15
LAFAU,,295,ipo,2026-08-15
LASC,,52,ipo,2026-08-15
LATA,,278,ipo,2026-08-15
LATAU,,117,ipo,2026-08-15
LATAW,,278,ipo,2026-08-15
LATR,,101,ipo,2026-08-15
LAZR,632,46,ipo,2026-08-15
LBGJ,12,661,rs,2026-08-15
LBHIX,250,,rs,2026-08-15
LBHYX,250,,rs,2026-08-15
LBIIX,250,,rs,2026-08-15
LBRX,,338,ipo,2026-08-15
LBUY,92,,rs,2026-08-15
LCID,347,1846,rs,2026-08-15
LCIZ,,205,ipo,2026-08-15
LCLN,,87,ipo,2026-08-15
LCO,,219,ipo,2026-08-15
LCTO,,39,ipo,2026-08-15
LDDFF,155,,rs,2026-08-15
LDSN,270,,rs,2026-08-15
LEGO,,152,ipo,2026-08-15
LEGO.U,,204,ipo,2026-08-15
LEGO.WS,,152,ipo,2026-08-15
LEND,,89,ipo,2026-08-15
LENDX,36,,rs,2026-08-15
LESL,320,2116,rs,2026-08-15
LEUX,,177,ipo,2026-08-15
LEXX,12,2041,rs,2026-08-15
LFAC,,201,ipo,2026-08-15
LFACU,,253,ipo,2026-08-15
LFACW,,201,ipo,2026-08-15
LFAI,327,698,rs,2026-08-15
LFAO,327,698,rs,2026-08-15
LFAW,327,698,rs,2026-08-15
LFBE,327,586,rs,2026-08-15
LFDR,327,607,rs,2026-08-15
LFLY,334,1650,rs,2026-08-15
LFS,,310,ipo,2026-08-15
LFTO,,72,ipo,2026-08-15
LFWD,172,928,rs,2026-08-15
LGCL,306,893,rs,2026-08-15
LGDS,,33,ipo,2026-08-15
LGHL,32,2250,rs,2026-08-15
LGMK,291,1627,rs,2026-08-15
LGN,8142,337,ipo,2026-08-15
LGSXY,33,,rs,2026-08-15
LHSW,54,499,rs,2026-08-15
LIAE,327,698,rs,2026-08-15
LIAM,327,698,rs,2026-08-15
LIAU,327,698,rs,2026-08-15
LIBD,327,586,rs,2026-08-15
LIFE,2602,198,ipo,2026-08-15
LIFT,,325,ipo,2026-08-15
LILAP,,59,ipo,2026-08-15
LILAV,,75,ipo,2026-08-15
LILKV,,75,ipo,2026-08-15
LILPV,,75,ipo,2026-08-15
LIME,4691,45,ipo,2026-08-15
LINMF,33,,rs,2026-08-15
LINT,,269,ipo,2026-08-15
LITC,,36,ipo,2026-08-15
LITS,,338,ipo,2026-08-15
LITU,,86,ipo,2026-08-15
LITX,,200,ipo,2026-08-15
LITZ,,114,ipo,2026-08-15
LKFT,,99,ipo,2026-08-15
LKSP,,282,ipo,2026-08-15
LKSPR,,282,ipo,2026-08-15
LKSPU,,312,ipo,2026-08-15
LLII,,284,ipo,2026-08-15
LLYZ,,346,ipo,2026-08-15
LMFA,33,3903,rs,2026-08-15
LMNX,,303,ipo,2026-08-15
LMRI,,247,ipo,2026-08-15
LNAI,85,318,both,2026-08-15
LNGX,,290,ipo,2026-08-15
LNKS,131,618,rs,2026-08-15
LNNTF,207,,rs,2026-08-15
LNOK,,206,ipo,2026-08-15
LNZA,361,1282,rs,2026-08-15
LOEV,,26,ipo,2026-08-15
LOFF,,61,ipo,2026-08-15
LOHA,,93,ipo,2026-08-15
LOKVU,,86,ipo,2026-08-15
LOMEF,254,,rs,2026-08-15
LONA,331,215,both,2026-08-15
LOTI,,319,ipo,2026-08-15
LPAAU,,135,ipo,2026-08-15
LPBBU,,85,ipo,2026-08-15
LPCV,,187,ipo,2026-08-15
LPCVU,,240,ipo,2026-08-15
LPCVW,,187,ipo,2026-08-15
LPSN,306,9626,rs,2026-08-15
LQ,2999,102,ipo,2026-08-15
LQDM,,116,ipo,2026-08-15
LQID,8054,94,ipo,2026-08-15
LRCC,,39,ipo,2026-08-15
LRCU,,361,ipo,2026-08-15
LRHC,117,1040,rs,2026-08-15
LRNX,,52,ipo,2026-08-15
LSCP,,52,ipo,2026-08-15
LSTB,,52,ipo,2026-08-15
LTAX,,214,ipo,2026-08-15
LTCC,,291,ipo,2026-08-15
LTGRU,,72,ipo,2026-08-15
LTSRF,207,,rs,2026-08-15
LUBIX,250,,rs,2026-08-15
LULG,,283,ipo,2026-08-15
LUMA,,31,ipo,2026-08-15
LUNL,,214,ipo,2026-08-15
LVIG,,158,ipo,2026-08-15
LVLN,,270,ipo,2026-08-15
LVO,323,1774,rs,2026-08-15
LWAC,,365,ipo,2026-08-15
LWACU,,32,ipo,2026-08-15
LWACW,,365,ipo,2026-08-15
LXEH,117,2144,rs,2026-08-15
LXP,277,11995,rs,2026-08-15
LYFX,,311,ipo,2026-08-15
LYTHF,323,,rs,2026-08-15
LZMH,85,534,rs,2026-08-15
MAAY,,284,ipo,2026-08-15
MACIU,,116,ipo,2026-08-15
MAGC,,318,ipo,2026-08-15
MAGO,,228,ipo,2026-08-15
MAIFF,222,,rs,2026-08-15
MAIR,,121,ipo,2026-08-15
MAKO,,138,ipo,2026-08-15
MANE,,192,ipo,2026-08-15
MANI,,331,ipo,2026-08-15
MANVF,179,,rs,2026-08-15
MARS,,163,ipo,2026-08-15
MASK,152,584,rs,2026-08-15
MATE,,241,ipo,2026-08-15
MAUG,6400,106,ipo,2026-08-15
MAYAU,,331,ipo,2026-08-15
MAYC,,106,ipo,2026-08-15
MBAI,2,260,both,2026-08-15
MBAVU,,212,ipo,2026-08-15
MBBA,,201,ipo,2026-08-15
MBCE,,73,ipo,2026-08-15
MBGL,,45,ipo,2026-08-15
MBRX,257,3726,rs,2026-08-15
MBVI,,302,ipo,2026-08-15
MBVIU,,353,ipo,2026-08-15
MBVIW,,302,ipo,2026-08-15
MCAH,,54,ipo,2026-08-15
MCAHR,,54,ipo,2026-08-15
MCAHU,,107,ipo,2026-08-15
MCGA,,341,ipo,2026-08-15
MCGAU,,341,ipo,2026-08-15
MCGAW,,341,ipo,2026-08-15
MCHB,,347,ipo,2026-08-15
MCHG,,60,ipo,2026-08-15
MCHU,,79,ipo,2026-08-15
MCOW,,352,ipo,2026-08-15
MCTA,,298,ipo,2026-08-15
MCVT,1467,143,ipo,2026-08-15
MDA,,156,ipo,2026-08-15
MDAA,,316,ipo,2026-08-15
MDBX,,361,ipo,2026-08-15
MDCR,,64,ipo,2026-08-15
MDLN,,241,ipo,2026-08-15
MDPEF,302,,rs,2026-08-15
MDRNF,15,,rs,2026-08-15
MEDS,1150,24,ipo,2026-08-15
MEEEF,299,,rs,2026-08-15
MEHA,,283,ipo,2026-08-15
MEMA,,241,ipo,2026-08-15
MEME,1202,311,ipo,2026-08-15
MEMY,,207,ipo,2026-08-15
MESA,263,2927,rs,2026-08-15
MESH,,197,ipo,2026-08-15
MESHU,,248,ipo,2026-08-15
MESHW,,197,ipo,2026-08-15
METG,,39,ipo,2026-08-15
METL,,339,ipo,2026-08-15
MEVO,,177,ipo,2026-08-15
MEVOU,,197,ipo,2026-08-15
MEVOW,,177,ipo,2026-08-15
MEXGF,26,,rs,2026-08-15
MF,1398,26,ipo,2026-08-15
MFEB,,106,ipo,2026-08-15
MFGCF,240,,rs,2026-08-15
MFIG,,249,ipo,2026-08-15
MFMLF,281,,rs,2026-08-15
MFMO,,249,ipo,2026-08-15
MFP,,39,ipo,2026-08-15
MFPVV,,47,ipo,2026-08-15
MFVL,,249,ipo,2026-08-15
MGKX,,73,ipo,2026-08-15
MGMLF,341,,rs,2026-08-15
MGN,,323,ipo,2026-08-15
MHIFF,228,,rs,2026-08-15
MHIG,,116,ipo,2026-08-15
MHIP,,116,ipo,2026-08-15
MHUA,264,1641,rs,2026-08-15
MHX,,32,ipo,2026-08-15
MHY,,331,ipo,2026-08-15
MI,89,1062,rs,2026-08-15
MIACU,,44,ipo,2026-08-15
MIC,,50,ipo,2026-08-15
MICC,,250,ipo,2026-08-15
MIDDV,,46,ipo,2026-08-15
MIGI,267,1781,rs,2026-08-15
MIGO,,172,ipo,2026-08-15
MIMI,101,582,rs,2026-08-15
MINE,3970,200,ipo,2026-08-15
MINY,,169,ipo,2026-08-15
MIVL,,72,ipo,2026-08-15
MJSC,,332,ipo,2026-08-15
MJUN,,64,ipo,2026-08-15
MKDW,201,744,rs,2026-08-15
MKLY,,317,ipo,2026-08-15
MKLYR,,317,ipo,2026-08-15
MKSEF,124,,rs,2026-08-15
MKTN,,324,ipo,2026-08-15
MLAA,,149,ipo,2026-08-15
MLAAU,,200,ipo,2026-08-15
MLAAW,,149,ipo,2026-08-15
MLACU,,81,ipo,2026-08-15
MLCI,,334,ipo,2026-08-15
MLCIL,,194,ipo,2026-08-15
MLEC,222,1320,rs,2026-08-15
MLPH,58,,rs,2026-08-15
MLPI,,240,ipo,2026-08-15
MMAR,,64,ipo,2026-08-15
MMAY,,106,ipo,2026-08-15
MMED,,162,ipo,2026-08-15
MMID,,325,ipo,2026-08-15
MMILF,113,,rs,2026-08-15
MMK,,184,ipo,2026-08-15
MMMA,,242,ipo,2026-08-15
MMTX,,243,ipo,2026-08-15
MMTXU,,296,ipo,2026-08-15
MMTXW,,243,ipo,2026-08-15
MNDR,47,857,rs,2026-08-15
MNSX,,52,ipo,2026-08-15
MNTS,240,1828,rs,2026-08-15
MNVR,,106,ipo,2026-08-15
MNVT,,150,ipo,2026-08-15
MNZL,,269,ipo,2026-08-15
MOB,,250,ipo,2026-08-15
MOBI,6143,99,ipo,2026-08-15
MOBX,130,967,rs,2026-08-15
MODD,137,1647,rs,2026-08-15
MOJO,292,,rs,2026-08-15
MOOOF,254,,rs,2026-08-15
MOTMX,222,,rs,2026-08-15
MOVE,309,145,both,2026-08-15
MPG,,292,ipo,2026-08-15
MPIBX,222,,rs,2026-08-15
MPISX,263,,rs,2026-08-15
MPL,148,298,both,2026-08-15
MPLT,,292,ipo,2026-08-15
MPNIX,222,,rs,2026-08-15
MPSTX,222,,rs,2026-08-15
MPT,,194,ipo,2026-08-15
MPWC,,39,ipo,2026-08-15
MPWX,,113,ipo,2026-08-15
MQ,45,1893,rs,2026-08-15
MRA,,80,ipo,2026-08-15
MRAL,106,526,rs,2026-08-15
MRCOU,,37,ipo,2026-08-15
MRDN,165,165,both,2026-08-15
MREYF,184,,rs,2026-08-15
MRLN,,151,ipo,2026-08-15
MRNX,,192,ipo,2026-08-15
MRNY,257,1026,rs,2026-08-15
MROPF,172,,rs,2026-08-15
MRSH,,213,ipo,2026-08-15
MRVU,,185,ipo,2026-08-15
MRVX,,32,ipo,2026-08-15
MSAI,124,969,rs,2026-08-15
MSBT,,129,ipo,2026-08-15
MSCLF,197,,rs,2026-08-15
MSEP,7227,64,ipo,2026-08-15
MSFC,,50,ipo,2026-08-15
MSGY,4,403,rs,2026-08-15
MSIX,,52,ipo,2026-08-15
MSLE,,190,ipo,2026-08-15
MSPR,347,614,rs,2026-08-15
MSR,,95,ipo,2026-08-15
MSS,24,1045,rs,2026-08-15
MSST,,270,ipo,2026-08-15
MST,145,470,rs,2026-08-15
MSTC,,50,ipo,2026-08-15
MSTK,,296,ipo,2026-08-15
MSTP,106,431,rs,2026-08-15
MSTU,255,696,rs,2026-08-15
MSTX,149,730,rs,2026-08-15
MSTY,250,905,rs,2026-08-15
MTAL,,123,ipo,2026-08-15
MTAL.U,,156,ipo,2026-08-15
MTAL.WS,,123,ipo,2026-08-15
MTEN,201,849,rs,2026-08-15
MTEST,,299,ipo,2026-08-15
MTEST.A,,317,ipo,2026-08-15
MTNE,,54,ipo,2026-08-15
MTNE.U,,106,ipo,2026-08-15
MTNE.WS,,54,ipo,2026-08-15
MTSG,,53,ipo,2026-08-15
MTVA,253,624,rs,2026-08-15
MTYY,74,326,both,2026-08-15
MUD,158,674,rs,2026-08-15
MULT,,352,ipo,2026-08-15
MUNA,,361,ipo,2026-08-15
MUNB,,361,ipo,2026-08-15
MUNC,,361,ipo,2026-08-15
MUND,,361,ipo,2026-08-15
MUNX,,289,ipo,2026-08-15
MUYY,,123,ipo,2026-08-15
MUZ,,67,ipo,2026-08-15
MUZE,,145,ipo,2026-08-15
MUZEU,,197,ipo,2026-08-15
MUZEW,,145,ipo,2026-08-15
MVIS,12,10945,rs,2026-08-15
MWC,,93,ipo,2026-08-15
MWG,173,1229,rs,2026-08-15
MWH,,185,ipo,2026-08-15
MWHS,,47,ipo,2026-08-15
MXROF,207,,rs,2026-08-15
MYCO,7761,332,ipo,2026-08-15
MYCOF,298,,rs,2026-08-15
MYHA,,170,ipo,2026-08-15
MYHB,,170,ipo,2026-08-15
MYHC,,170,ipo,2026-08-15
MYHD,,170,ipo,2026-08-15
MYHE,,170,ipo,2026-08-15
MYMK,,332,ipo,2026-08-15
MYSZ,2,3537,rs,2026-08-15
MYX,,92,ipo,2026-08-15
MYXXR,,92,ipo,2026-08-15
MYXXU,,123,ipo,2026-08-15
MYXXW,,92,ipo,2026-08-15
MZYX,,117,ipo,2026-08-15
MZYX.U,,171,ipo,2026-08-15
MZYX.WS,,117,ipo,2026-08-15
NAFS,198,,rs,2026-08-15
NAKA,85,449,rs,2026-08-15
NAMI,51,617,rs,2026-08-15
NASA,,137,ipo,2026-08-15
NAVN,,289,ipo,2026-08-15
NBFAX,306,,rs,2026-08-15
NBFCX,306,,rs,2026-08-15
NBFR,,172,ipo,2026-08-15
NBGTX,306,,rs,2026-08-15
NBGUX,306,,rs,2026-08-15
NBIAF,95,,rs,2026-08-15
NBIAY,85,,rs,2026-08-15
NBIC,,32,ipo,2026-08-15
NBIE,,159,ipo,2026-08-15
NBIG,,292,ipo,2026-08-15
NBIL,,312,ipo,2026-08-15
NBIZ,25,205,both,2026-08-15
NBMBX,306,,rs,2026-08-15
NBMTX,306,,rs,2026-08-15
